JURISDICCION;OBJETIVO;EJE1;EJE2;NOMBRE_PROYECTO;DESCRIPCION_PROYECTO;FECHA_INICIO;FECHA_FIN;ETIQUETA;BARRIO
SECRETARIA GENERAL Y RELACIONES INTERNACIONALES;INSTITUCIONALIZAR EL USO DE COMPROMISOS PUBLICOS PARA PROMOVER EL CUMPLIMIENTO Y LA RENDICION DE CUENTAS DEL GCBA.;CREATIVIDAD;;COMPROMISOS DE GOBIERNO;LOS COMPROMISOS DE GOBIERNO SON OBJETIVOS ESPECIFICOS Y MEDIBLES, ENUNCIADOS POR EL JEFE DE GOBIERNO AL INICIO DE LA GESTION, SOBRE LOS QUE EL GOBIERNO DE LA CIUDAD RINDE CUENTAS CONSTANTEMENTE ANTE LOS VECINOS, PARA QUE TODOS JUNTOS PODAMOS MEDIR COMO VAMOS. CONOCE LOS COMPROMISOS DE GOBIERNO EN HTTP://WWW.BUENOSAIRES.GOB.AR/COMPROMISOS.;1/1/2017;7/2/2018;GOBIERNO ABIERTO;
SECRETARIA GENERAL Y RELACIONES INTERNACIONALES;APOYAR LA INCORPORACION DE EVIDENCIA, CONOCIMIENTO Y DATOS EN POLITICAS Y PROGRAMAS DE GOBIERNO PRIORITARIOS.;CREATIVIDAD;;POLITICAS BASADAS EN LA EVIDENCIA;"A TRAVES DE ESTE PROYECTO, LA SECRETARIA GENERAL Y DE RELACIONES INTERNACIONALES DE LA CIUDAD ASISTE A LAS DIFERENTES AREAS DEL GOBIERNO IMPLEMENTANDO DIFERENTES MODALIDADES PARA GENERAR Y USAR EVIDENCIA EN LA TOMA DE DECISIONES. ENTRE OTRAS CUESTIONES, ESTE PROYECTO REALIZA: 1) ANALISIS ESTADISTICOS Y ESPACIALES DE INFORMACION DE DESEMPEÑO DE PROGRAMAS PRIORITARIOS; 2) ESTUDIOS CUALI-CUANTITATIVOS EN PROFUNDIDAD EN CONJUNTO CON UNIVERSIDADES Y EXPERTOS; 3) EXPERIMENTACION SOBRE LA BASE DE CONOCIMIENTOS DE LA ECONOMIA DEL COMPORTAMIENTO PARA OPTIMIZAR EL DESEMPEÑO DE LA ADMINISTRACION Y LA INTERACCION CON LOS VECINOS, Y 4) EVALUACION DE PROGRAMAS PRIORITARIOS DE GOBIERNO.";1/1/2017;28/2/2018;GOBIERNO ABIERTO;
SECRETARIA GENERAL Y RELACIONES INTERNACIONALES;IMPULSAR INICIATIVAS DE INNOVACION INSTITUCIONAL EN EL GCBA.;CREATIVIDAD;;AGENDA DE TRANSPARENCIA E INNOVACION INSTITUCIONAL: GOBIERNO ABIERTO;ESTE PROYECTO BUSCA CONSOLIDAR UN GOBIERNO ABIERTO A PARTIR DE LA PUBLICACION DE INFORMACION PUBLICA EN FORMATOS DE FACIL COMPRENSION POR LOS VECINOS. SIGUIENDO LOS ESTANDARES INTERNACIONALES EN MATERIA DE GOBIERNO ABIERTO, PROMUEVE QUE LOS VECINOS USEN LA INFORMACION PUBLICA PARA MEJORAR LA CALIDAD DE LOS SERVICIOS PUBLICOS. MAS INFORMACION EN:://WWW.BUENOSAIRES.GOB.AR/AGENDADETRANSPARENCIA/GOBIERNO-ABIERTO .;1/1/2017;31/12/2017;GOBIERNO ABIERTO/ PARTICIPACION CIUDADANA;
SECRETARIA GENERAL Y RELACIONES INTERNACIONALES;IMPULSAR INICIATIVAS DE INNOVACION INSTITUCIONAL EN EL GCBA.;CREATIVIDAD;;AGENDA DE TRANSPARENCIA E INNOVACION INSTITUCIONAL: GOBIERNO RESPONSABLE E INTELIGENTE;CON ESTA AGENDA, LA SECRETARIA GENERAL Y DE RELACIONES INTERNACIONALES DESARROLLA Y ACOMPAÑA DIVERSAS INICIATIVAS DEL GOBIERNO PARA POTENCIAR LA RENDICION DE CUENTAS Y LA COCREACION DE POLITICAS PUBLICAS CON LOS VECINOS Y ORGANIZACIONES DE LA SOCIEDAD CIVIL. MAS INFORMACION EN HTTP://WWW.BUENOSAIRES.GOB.AR/AGENDADETRANSPARENCIA/GOBIERNO-INTELIGENTE.;1/1/2017;20/12/2017;GOBIERNO ABIERTO/ PARTICIPACION CIUDADANA;
SECRETARIA GENERAL Y RELACIONES INTERNACIONALES;IMPULSAR INICIATIVAS DE INNOVACION INSTITUCIONAL EN EL GCBA.;CREATIVIDAD;;BUENOS AIRES EN LA ALIANZA PARA EL GOBIERNO ABIERTO;ESTE PROYECTO CONTINUA LA PARTICIPACION DE BUENOS AIRES EN EL PROGRAMA PILOTO DE GOBIERNOS SUBNACIONALES DE LA ALIANZA PARA EL GOBIERNO ABIERTO (OGP, POR SUS SIGLAS EN INGLES). OGP ES UNA INICIATIVA GLOBAL DE MAS DE 69 PAISES QUE PROMUEVEN LA TRANSPARENCIA, LA PARTICIPACION Y LA INNOVACION GUBERNAMENTAL A TRAVES DEL USO DE NUEVAS TECNOLOGIAS Y DEL DIALOGO PERMANENTE CON LA SOCIEDAD CIVIL. LAS CIUDADES PARTICIPANTES DEFINEN PLANES DE ACCION A TRAVES DE LA COCREACION ENTRE EL GOBIERNO Y LA SOCIEDAD CIVIL. MAS INFORMACION EN: HTTP://WWW.BUENOSAIRES.GOB.AR/AGENDADETRANSPARENCIA/GOBIERNO-ABIERTO/BSAS-EN-ALIANZA/CRONOGRAMA.;1/1/2017;15/12/2017;GOBIERNO ABIERTO/ PARTICIPACION CIUDADANA;
SECRETARIA GENERAL Y RELACIONES INTERNACIONALES;GENERAR PROYECTOS AMBA PARA FOMENTAR UNA CULTURA METROPOLITANA.;DISFRUTE;;GABINETE METROPOLITANO;EL GOBIERNO DE LA CIUDAD AUTONOMA DE BUENOS AIRES Y EL GOBIERNO DE LA PROVINCIA DE BUENOS AIRES CONSTITUYERON EL GABINETE METROPOLITANO PARA ABORDAR CONJUNTAMENTE LOS DESAFIOS QUE SUPONE EL AREA METROPOLITANA BUENOS AIRES (AMBA). ES UN AMBITO DE COORDINACION INTERJURISDICCIONAL PARA DISEÑAR E IMPLEMENTAR POLITICAS METROPOLITANAS. PARTICIPAN DE ESTE AMBITO EL JEFE DE GOBIERNO DE LA CIUDAD Y LA GOBERNADORA DE LA PROVINCIA JUNTO A LOS RESPECTIVOS MINISTROS DE CADA DISTRITO CON RESPONSABILIDAD POR LAS INICIATIVAS CONJUNTAS.;1/1/2017;31/12/2017;GOBIERNO ABIERTO/ INTEGRACION SOCIAL Y URBANA;
SECRETARIA GENERAL Y RELACIONES INTERNACIONALES;GENERAR PROYECTOS AMBA PARA FOMENTAR UNA CULTURA METROPOLITANA.;DISFRUTE;;AMBA DATA;"ESTE PROYECTO CREARA UN SISTEMA DE INFORMACION ESTADISTICA Y GEORREFERENCIADA DEL AREA METROPOLITANA DE BUENOS AIRES (AMBA) EN LINEA, PARA APOYAR LA GESTION EN AMBOS DISTRITOS Y COMO PORTAL DE DATOS ABIERTOS AL PUBLICO. INCLUYE LA ARMONIZACION Y SISTEMATIZACION DE DATOS YA EXISTENTES EN AMBOS DISTRITOS; LA RECOLECCION DE INFORMACION ACTUALMENTE NO DISPONIBLE; EL DESARROLLO DE VISUALIZACIONES Y MAPAS QUE FACILITEN SU USO, Y EL ESTABLECIMIENTO DE UNA GOBERNANZA CONJUNTA PARA OPERAR Y MANTENER EL SISTEMA.";1/1/2017;31/12/2019;GOBIERNO ABIERTO/ INTEGRACION SOCIAL Y URBANA;
SECRETARIA GENERAL Y RELACIONES INTERNACIONALES;GENERAR UN DIALOGO SISTEMATICO DEL JEFE DE GOBIERNO Y SU GABINETE CON ACTORES CLAVE DE LA SOCIEDAD.;CREATIVIDAD;;RELACIONAMIENTO INTERNACIONAL DE LA CIUDAD;ESTE PROYECTO CONTEMPLA EL DESARROLLO Y LA IMPLEMENTACION DE UNA AGENDA DE RELACIONAMIENTO INTERNACIONAL PARA LA CIUDAD. PARA ELLO, BUSCA FORTALECER LOS VINCULOS BILATERALES Y PROPICIAR UN INTERCAMBIO DIRECTO Y ENRIQUECEDOR CON OTRAS CIUDADES, REGIONES Y PAISES CON RELEVANCIA ESTRATEGICA PARA LA CIUDAD. ADEMAS, CONTEMPLA LA PARTICIPACION DE LA CIUDAD EN ESPACIOS MULTILATERALES, COMO REDES U ORGANIZACIONES INTERNACIONALES QUE NUCLEAN A DIVERSAS METROPOLIS Y QUE PERMITEN AFRONTAR DESAFIOS COMUNES DE IMPACTO GLOBAL (C40, 100 CIUDADES RESILIENTES, CGLU,  UCCI, MERCOCIUDADES, METROPOLIS, CIDEU, ICLEI, CIUDADES CREATIVAS –UNESCO). ASIMISMO, INCLUYE LA PARTICIPACION DEL JEFE DE GOBIERNO EN EVENTOS INTERNACIONALES DE RELEVANCIA PARA LA CIUDAD.;1/1/2017;31/12/2017;GOBIERNO ABIERTO;
SECRETARIA GENERAL Y RELACIONES INTERNACIONALES;GENERAR UN DIALOGO SISTEMATICO DEL JEFE DE GOBIERNO Y SU GABINETE CON ACTORES CLAVE DE LA SOCIEDAD.;CREATIVIDAD;;ANFITEATRO INTERRELIGIOSO;EN DIALOGO Y CON EL CONSENSO DE LAS COMUNIDADES DE FE, SE DESARROLLARA UN ANFITEATRO INTERRELIGIOSO. SERA UN ESPACIO PARA LA CELEBRACION DE LOS DIFERENTES CULTOS DE LA CIUDAD, CUYO DISEÑO MANIFIESTARA EL ESPIRITU PROPIO DE LA CIUDAD COMO EJEMPLO DE DIALOGO Y DIVERSIDAD RELIGIOSA.;1/1/2017;9/3/2017;GOBIERNO ABIERTO/ INTEGRACION SOCIAL Y URBANA/ CULTURA;
SECRETARIA GENERAL Y RELACIONES INTERNACIONALES;GENERAR UN DIALOGO SISTEMATICO DEL JEFE DE GOBIERNO Y SU GABINETE CON ACTORES CLAVE DE LA SOCIEDAD.;CREATIVIDAD;;ACOMPAÑAMIENTO A COMUNIDADES DE FE;CON ESTE PROYECTO, EL GOBIERNO APOYA Y POTENCIA LAS ACCIONES SOCIALES QUE REALIZAN LAS COMUNIDADES DE FE EN LA CIUDAD, CON ESPECIAL FOCO EN AQUELLAS COMUNIDADES QUE TRABAJAN EN LA INTEGRACION URBANA DE ZONAS VULNERABLES, A TRAVES DE DIFERENTES ACTIVIDADES, TALES COMO LAS FESTIVIDADES PROPIAS DE CADA COMUNIDAD.;1/1/2017;16/12/2017;GOBIERNO ABIERTO/ INTEGRACION SOCIAL Y URBANA/ CULTURA;
SECRETARIA GENERAL Y RELACIONES INTERNACIONALES;GENERAR UN DIALOGO SISTEMATICO DEL JEFE DE GOBIERNO Y SU GABINETE CON ACTORES CLAVE DE LA SOCIEDAD.;CREATIVIDAD;;BA CAPITAL DEL ENCUENTRO, LA CONVIVENCIA Y EL DIALOGO INTERRELIGIOSO;ESTE PROYECTO PROMUEVE A LA CIUDAD DE BUENOS AIRES COMO LA CAPITAL LATINOAMERICANA DEL ENCUENTRO, LA CONVIVENCIA Y EL DIALOGO INTERRELIGIOSO. PARA ELLO, EL GOBIERNO CREA DIFERENTES ESPACIOS DE DIALOGO QUE FORTALEZCAN LA CONVIVENCIA INTERRELIGIOSA EN LA CIUDAD, Y REFUERCEN EL VINCULO CON LAS COMUNIDADES DE FE.;3/2/2017;31/12/2017;GOBIERNO ABIERTO/ INTEGRACION SOCIAL Y URBANA/ CULTURA;
SECRETARIA GENERAL Y RELACIONES INTERNACIONALES;GENERAR UN DIALOGO SISTEMATICO DEL JEFE DE GOBIERNO Y SU GABINETE CON ACTORES CLAVE DE LA SOCIEDAD.;CREATIVIDAD;;COPE: PLAN ESTRATEGICO PARTICIPATIVO BA 2035;COPE: PLAN ESTRATEGICO 2017-2035EL CONSEJO DE PLANEAMIENTO ESTRATEGICO (COPE) DE LA CIUDAD ELABORO UN PLAN ESTRATEGICO PARTICIPATIVO BA 2035 CON PERSPECTIVA METROPOLITANA, Y UNA VISION INTEGRAL DEL DESARROLLO URBANO, ECONOMICO, POLITICO, SOCIAL, CULTURAL Y AMBIENTAL DE LA CIUDAD. EN ARTICULACION CON TODAS LAS AREAS DEL GOBIERNO DE LA CIUDAD, Y LOS GOBIERNOS NACIONAL Y DE LA PROVINCIA DE BUENOS AIRES, EL PLAN ESTRATEGICO PARTICIPATIVO BA 2035 FUE VALIDADO POR LAS 184 ORGANIZACIONES DE LA SOCIEDAD CIVIL QUE INTEGRAN EL CONSEJO. ESTE PROYECTO CONTEMPLA EL ESTABLECIMIENTO DE  UNA OFICINA DE MONITOREO PARA ANALIZAR SU IMPLEMENTACION. MAS INFORMACION EN: HTTP://WWW.BUENOSAIRES.GOB.AR/NOTICIAS/PLAN-ESTRATEGICO-PARTICIPATIVO-BUENOS-AIRES-2035-PEP-BA-2035.;1/1/2017;31/12/2017;GOBIERNO ABIERTO/ INTEGRACION SOCIAL Y URBANA/ CULTURA/ PARTICIPACION CIUDADANA;
SECRETARIA GENERAL Y RELACIONES INTERNACIONALES;GENERAR UN DIALOGO SISTEMATICO DEL JEFE DE GOBIERNO Y SU GABINETE CON ACTORES CLAVE DE LA SOCIEDAD.;CREATIVIDAD;;CONSEJO DE PLANEAMIENTO ESTRATEGICO: RELACIONAMIENTO INSTITUCIONAL;ESTE PROYECTO BUSCA INSTITUIR AL CONSEJO DE PLANEAMIENTO ESTRATEGICO (COPE) DE LA CIUDAD COMO UN FORO DE DIALOGO SOBRE LA VISION URBANA DE LA CIUDAD. PARA ELLO, LLEVARA ADELANTE UN PLAN DE RELACIONAMIENTO INSTITUCIONAL CON ACTORES DE LA CIUDAD, EL AREA METROPOLITANA DE BUENOS AIRES (AMBA) Y ACTORES INTERNACIONALES COMO POR EJEMPLEO CIDEU Y MERCOCIUDADES. LA INICIATIVA INCLUYE DIVERSOS EJES DE TRABAJO, COMO TRANSFERIR EL CONOCIMIENTO Y LA EXPERIENCIA DEL COPE A LOS CONSEJOS CONSULTIVOS DE LAS COMUNAS DE LA CIUDAD Y DE LOS 40 MUNICIPIOS DEL AMBA, Y LA IMPLEMENTACION DEL PROGRAMA DE CAPACITACION PARA LA FORMACION DE ESTRATEGAS URBANOS DEL AMBA. MAS INFORMACION EN: HTTP://WWW.BUENOSAIRES.GOB.AR/NOTICIAS/IX-ENCUENTRO-SUBRED-CONO-SUR.;15/2/2017;20/12/2017;GOBIERNO ABIERTO/ INTEGRACION SOCIAL Y URBANA/ CULTURA;
SECRETARIA GENERAL Y RELACIONES INTERNACIONALES;PROYECTAR INTERNACIONALMENTE LA CIUDAD Y LA GESTION DEL GCBA.;CREATIVIDAD;;NUEVA AGENDA URBANA GLOBAL EN LA CIUDAD;"CON ESTE PROYECTO, EL GOBIERNO IDENTIFICA E IMPLEMENTA EN LA CIUDAD DE BUENOS AIRES POLITICAS PUBLICAS DE LA NUEVA AGENDA URBANA GLOBAL Y DIFUNDE EN EL EXTERIOR SUS PROPIAS INICIATIVAS. ALGUNAS DE LAS INICIATIVAS DESTACADAS DE ESTA AGENDA INCLUYEN: 1) EL LANZAMIENTO DEL PROGRAMA CUIDEMOS LOS ALIMENTOS Y LA INICIATIVA “LLEVATELO” , EN EL MARCO DE UNA POLITICA ALIMENTARIA URBANA SOSTENIBLE (HTTP://WWW.BUENOSAIRES.GOB.AR/ALIMENTOS); 2) EL LANZAMIENTO DEL CONCURSO INTERNACIONAL CIUDAD PARA LAS PERSONAS, UNA INICIATIVA DEL GOBIERNO DE LA CIUDAD DESTINADA A CIUDADES DE AMERICA LATINA Y EL CARIBE DE ENTRE 50 MIL Y 1 MILLON DE HABITANTES, QUE RECONOCE PROPUESTAS IMPULSADAS POR LOS PODERES EJECUTIVOS LOCALES PARA CONSTRUIR CIUDADES A ESCALA HUMANA; 3) LA ADHESION EN 2016 DE LA CIUDAD A LA AGENDA 2030 PARA EL DESARROLLO SOSTENIBLE; 4) LA INCORPORACION DE LA CIUDAD EN EL PROGRAMA 100 CIUDADES RESILIENTES.";1/1/2017;30/12/2017;GOBIERNO ABIERTO/ INTEGRACION SOCIAL Y URBANA;
ENTE AUTARQUICO TEATRO COLON;FORMAR ARTISTAS DEL MAXIMO NIVEL EN EL INSTITUTO SUPERIOR DE ARTE.;CREATIVIDAD;;ISA-NUEVA SEDE;CON EL FIN DE GARANTIZAR LOS NIVELES DE CALIDAD Y DE EXCELENCIA EN LA FORMACION QUE BRINDA EL INSTITUTO SUPERIOR DE ARTE SE INAUGURARA UN  ESPACIO EN DONDE SE DICTARAN TODAS LAS CARRERAS:  DANZA,  CANTO LIRICO, DIRECCION ESCENICA DE OPERA, PREPARACION MUSICAL DE OPERA, CARACTERIZACION Y ACADEMIA ORQUESTA.  LA NUEVA SEDE FUE ACONDICIONADA Y ADECUADA A LOS REQUERIMIENTOS PROPIOS DE LAS CARRERAS DE ARTE PARA QUE LOS ALUMNOS PUEDAN DESARROLLAR SUS ACTIVIDADES EN UN UNICO LUGAR, FAVORECIENDO LA INTEGRACION Y EL PERFECCIONAMIENTO DE ELITE.;2/1/2017;8/8/2017;CULTURA/ INTEGRACION SOCIAL Y URBANA/ EDUCACION;SAN NICOLAS
SECRETARIA GENERAL Y RELACIONES INTERNACIONALES;PROYECTAR INTERNACIONALMENTE LA CIUDAD Y LA GESTION DEL GCBA.;CREATIVIDAD;;POSICIONAMIENTO INTERNACIONAL DE LA CIUDAD;"ESTE PROYECTO BUSCA PROYECTAR A BUENOS AIRES COMO UNA CIUDAD GLOBAL. PARA ELLO, TRABAJA EN DIVERSOS EJES: 1) LA PARTICIPACION Y EL POSICIONAMIENTO DE LA CIUDAD EN LOS RANKINGS INTERNACIONALES QUE PERMITEN UNA INSERCION COMPETITIVA GLOBAL; 2) LA APLICACION SISTEMATICA A PREMIOS INTERNACIONALES QUE RECONOZCAN Y PERMITAN DIFUNDIR BUENAS PRACTICAS DE GOBIERNO, Y 3) EL POSICIONAMIENTO DE LA CIUDAD COMO SEDE DE GRANDES EVENTOS INTERNACIONALES.";1/12/2016;31/12/2017;GOBIERNO ABIERTO;
SECRETARIA GENERAL Y RELACIONES INTERNACIONALES;PROYECTAR INTERNACIONALMENTE LA CIUDAD Y LA GESTION DEL GCBA.;CREATIVIDAD;;VOCEROS DE BA EN EL MUNDO;EL PROGRAMA BUSCA GENERAR UNA RED DE REFERENTES DE LA CIUDAD AUTONOMA DE BUENOS AIRES QUE PROMUEVAN EL POSICIONAMIENTO INTERNACIONAL DE LA CIUDAD EN EL MUNDO. ES UNA RED GLOBAL MEDIANTE LA CUAL EL GOBIERNO SE VINCULA CON ARGENTINOS QUE RESIDEN EN EL EXTERIOR, QUE SE DESTACAN POR SU INICIATIVA, SU TRAYECTORIA PROFESIONAL E INICIATIVA EMPRENDEDORA Y ESTAN COMPROMETIDOS CON EL DESARROLLO DE LA CIUDAD. LOS VOCEROS ACTUAN COMO REPRESENTANTES HONORARIOS DE LA CIUDAD DE BUENOS AIRES EN DIFERENTES CIUDADES. SON RESPONSABLES DE DAR A CONOCER LA GESTION DEL GOBIERNO EN SU CIUDAD DE RESIDENCIA, Y DE DIFUNDIR ACTIVAMENTE OPORTUNIDADES DE COOPERACION E INVERSION. ASIMISMO, AYUDAN A DETECTAR BUENAS PRACTICAS DE LA CIUDAD, EL PAIS Y LA REGION EN LA QUE RESIDEN.;1/1/2017;31/12/2017;GOBIERNO ABIERTO;
SECRETARIA GENERAL Y RELACIONES INTERNACIONALES;PROYECTAR INTERNACIONALMENTE LA CIUDAD Y LA GESTION DEL GCBA.;CREATIVIDAD;;EXPERIENCIA BUENOS AIRES INTERNACIONAL;EXPERIENCIA BUENOS AIRES INTERNACIONAL (EBAI) ES UN PROGRAMA DE PRACTICAS PROFESIONALES NO RENTADAS Y DE INTERCAMBIO CULTURAL DEL GOBIERNO DE LA CIUDAD. ESTA DIRIGIDO A JOVENES TALENTOSOS DE LAS UNIVERSIDADES MAS PRESTIGIOSAS DEL MUNDO, QUE TENGAN UN FUERTE INTERES EN GESTION Y POLITICAS PUBLICAS. LA INICIATIVA BUSCA DIVERSIFICAR LOS VINCULOS DE LA CIUDAD COMO POLO DE ATRACCION DE TALENTOS GLOBALES, ENRIQUECER AL GOBIERNO CON LA MIRADA DE LOS JOVENES PROFESIONALES PROVENIENTES DE DIFERENTES CIUDADES Y PROMOCIONAR INTERNACIONALMENTE EL TRABAJO Y LA GESTION DEL GOBIERNO DE LA CIUDAD DE BUENOS AIRES.;1/1/2017;1/10/2017;GOBIERNO ABIERTO/ TRABAJO/ EDUCACION/ JOVENES;
SECRETARIA GENERAL Y RELACIONES INTERNACIONALES;PROMOVER INICIATIVAS DE COOPERACION CON GOBIERNOS SUB-NACIONALES PARA LA IMPLEMENTACION DE PROYECTOS CONJUNTOS Y EL INTERCAMBIO DE BUENAS PRACTICAS DE GESTION.;CREATIVIDAD;DISFRUTE;CENTRO COLABORADOR CON GOBIERNOS SUBNACIONALES;EL CENTRO COLABORADOR ENTRE CIUDADES PROMUEVE EL INTERCAMBIO DE POLITICAS PUBLICAS INNOVADORAS EN LA GESTION SUBNACIONAL Y LOCAL. A TRAVES DE CAPACITACIONES PRESENCIALES Y VIRTUALES, ENCUENTROS Y SEMINARIOS, EL CENTRO BUSCA GENERAR UNA RED DE ARTICULACION DE BUENAS PRACTICAS ENTRE GOBIERNOS, PARA CONOCER EXPERIENCIAS EXITOSAS IMPLEMENTADAS EN OTRAS CIUDADES Y SOCIALIZAR LAS PROPIAS.;1/1/2017;31/12/2017;GOBIERNO ABIERTO/ PARTICIPACION CIUDADANA ;
SECRETARIA GENERAL Y RELACIONES INTERNACIONALES;APOYAR LA INCORPORACION DE EVIDENCIA, CONOCIMIENTO Y DATOS EN POLITICAS Y PROGRAMAS DE GOBIERNO PRIORITARIOS.;CREATIVIDAD;;OBJETIVOS DE DESARROLLO SOSTENIBLE;EN 2016 LA CIUDAD DE BUENOS AIRES ADHIRIO FORMALMENTE A LA AGENDA 2030 PARA EL DESARROLLO SOSTENIBLE QUE IMPULSAN LAS NACIONES UNIDAS. ESTE PROYECTO BUSCA DEFINIR LAS METAS 2019 Y 2030 PARA LA CIUDAD DE BUENOS AIRES ENMARCADAS EN LOS OBJETIVOS DE DESARROLLO SOSTENIBLE, MONITOREAR SU CUMPLIMIENTO Y TRANSFERIR LA EXPERIENCIA DE LA CIUDAD A OTROS GOBIERNOS SUBNACIONALES.;1/1/2017;31/12/2017;GOBIERNO ABIERTO;
SECRETARIA GENERAL Y RELACIONES INTERNACIONALES;APOYAR LA INCORPORACION DE EVIDENCIA, CONOCIMIENTO Y DATOS EN POLITICAS Y PROGRAMAS DE GOBIERNO PRIORITARIOS.;CREATIVIDAD;;DIALOGO INTERSECTORIAL DE POLITICAS;"CON ESTE PROYECTO, EL GOBIERNO DE LA CIUDAD SE PROPONE DISEÑAR UN DISPOSITIVO INSTITUCIONAL PARA ABORDAR DESAFIOS Y COYUNTURAS COMPLEJAS CON UN MECANISMO QUE GARANTICE LA COORDINACION DE MULTIPLES SECTORES. PARA ELLO, LA INICIATIVA CREA Y BUSCA INSTITUCIONALIZAR AMBITOS DE TRABAJO COLABORATIVO EN LOS QUE PARTICIPEN ACTORES GUBERNAMENTALES Y NO GUBERNAMENTALES; Y ESTABLECE METODOLOGIAS Y DISPOSITIVOS PARA DISEÑAR POLITICAS PUBLICAS BASADAS EN BUENAS PRACTICAS INTERNACIONALES. ENTRE LAS INICIATIVAS DESTACADAS, SE ENCUENTRAN LA CREACION DE UNA MESA DE DIALOGO SOBRE ADICCIONES (HTTP://WWW.BUENOSAIRES.GOB.AR/ADICCIONES) Y EL DESARROLLO DE UN SISTEMA DE INDICADORES DE GENERO DE LA CIUDAD.";1/1/2017;31/12/2017;GOBIERNO ABIERTO/ PARTICIPACION CIUDADANA;
MINISTERIO DE DESARROLLO URBANO Y TRANSPORTE (STRANS - CABA);MEJORAR LA OFERTA Y CALIDAD DEL TRANSPORTE PUBLICO EN GENERAL PARA POTENCIAR SU USO Y REDUCIR SU IMPACTO AMBIENTAL.;ESCALA HUMANA;;PREDICTIVOS;"PARA SEGUIR AVANZANDO EN EL PLAN INTEGRAL PARA MEJORAR LA CALIDAD DEL SERVICIO DEL TRANSPORTE PUBLICO EN EL AREA METROPOLITANA LANZAMOS EL SISTEMA DE ARRIBO PREDICTIVO, UNA INNOVACION TECNOLOGICA QUE VA A TRANSFORMAR LA EXPERIENCIA DE MILLONES DE PERSONAS QUE ELIGEN AL COLECTIVO COMO FORMA DE MOVILIDAD, PARA CUENTEN CON INFORMACION EN TIEMPO REAL DEL MOMENTO EXACTO DE LLEGADA DEL PROXIMO COLECTIVO. EN SEPTIEMBRE DE 2017 COMENZO LA INSTALACION DE LAS CAMARAS EN LOS COLECTIVOS PARA MEJORAR LA SEGURIDAD A BORDO DEL TRANSPORTE PUBLICO. ESTAS CAMARAS TAMBIEN BRINDAN LA UBICACION DE LOS COLECTIVOS. HOY LAS 6 LINEAS INICIALES DEL PREDICTIVO CUENTAN CON ESTA TECNOLOGIA EN TODA SU FLOTA. A PARTIR DE FEBRERO LA GEOLOCALIZACION DE LAS UNIDADES DE LAS LINEAS DE COLECTIVOS SERA BRINDADA A TRAVES DE LAS VALIDADORAS SUBE. PARA EL PRIMER TRIMESTRE DE 2018 LO VAN A TENER INCORPORADO 1.000 UNIDADES DE 16 LINEAS DE COLECTIVOS. A MEDIADOS DE 2018, CONTARAN CON EL SISTEMA 78 LINEAS, ES DECIR 5200 UNIDADES; MIENTRAS QUE PARA FINES DE 2018 SE ESTIMA QUE EL PREDICTIVO FUNCIONE PARA LOS 10 MIL COLECTIVOS DE LAS 137 LINEAS NACIONALES QUE CIRCULAN POR EL AREA METROPOLITANA. EN 2019 SE SUMARAN LAS 9 MIL UNIDADES DE LINEAS MUNICIPALES Y PROVINCIALES COMPLETANDO LA TOTALIDAD DE LOS COLECTIVOS Y BENEFICIANDO A 10 MILLONES DE PERSONAS TODOS LOS DIAS.";15/3/2017;31/3/2019;TRANSPORTE PUBLICO/ GOBIERNO ABIERTO;
MINISTERIO DE CULTURA;AUMENTAR LA PARTICIPACION EN ACTIVIDADES CULTURALES EN ESPACIOS ABIERTOS.;DISFRUTE;ESCALA HUMANA;TE GUSTA? VENITE;EL PROGRAMA “TE GUSTA?.. VENITE”PROPONE ACTIVIDADES PARA PASAR UNA TARDE EN FAMILIA MIENTRAS SE DISFRUTAN ESPECTACULOS CULTURALES. ASI, BUSCA ACERCAR LA OFERTA CULTURAL A LAS FAMILIAS MEDIANTE MUESTRAS RELAMPAGO QUE ANTICIPEN A PARTIR DE EXPERIENCIAS LOS GRANDES EVENTOS MASIVOS ORGANIZADOS POR CIUDAD. TAMBIEN SE TRATA DE IRRUMPIR EN EL ESPACIO COTIDIANO Y PUBLICO GENERANDO EVENTOS A ESCALA BARRIAL QUE SIRVAN COMO SEMILLERO YARTICULEN CON LOS GRANDES FESTIVALES, Y GENEREN TAMBIEN MAYOR CONVOCATORIA.;8/1/2017;24/12/2017;CULTURA;
MINISTERIO DE MODERNIZACION, INNOVACION Y TECNOLOGIA;FORMAR A CIUDADANOS EN HABILIDADES DEL FUTURO.;INTEGRACION SOCIAL;;SEGUNDA VUELTA;PLAN DE FORTALECIMIENTO EN HABILIDADES ORIENTADAS AL TRABAJO DEL FUTURO PARA PERSONAS DE 40 A 55 AÑOS, CON EL FIN DE SU ACTUALIZACION Y/O RECONVERSION LABORAL FRENTE A LOS CAMBIOS QUE SE APROXIMAN EN EL MERCADO.;2/1/2017;31/3/2018;TRABAJO/ INTEGRACION SOCIAL Y URBANA/ DESARROLLO ECONOMICO;
